walletAddress,points to give usdb,points to give weth
0x413c0f086a9a571e000d8d97053568368777907f,8651386.254,0
0x22dd7feccb0e79396d41e7be76e350bbb311b84a,6615564.064,0
0xccb8e090fe070945cc0131a075b6e1ea8f208812,3239955.71,0
0x3ab2b029c4e8f4300f445cc9f1365ab0f7725f00,2681012.588,0
0x5828eff23f92e582ddf4fbbc2900e7448e45bd6c,1360020.899,0
0x1d2c4cd9bee9dfe088430b95d274e765151c32db,1094133.466,0
0xb477ef9ea2595fd351b3364398feb6015877996d,1019588.074,0
0x92ff5ebb3cb32ce771d9095d8efdb39765fb9108,856542.4935,0
0xa9786da5d3abb6c404b79df28b7f402e58ef7c5b,415185.3314,0
0x5dec7675be79819cc332f8b6b4ceae17169e3387,390339.0857,2987371.843
0x3bc7b82a7407f817df2e5c3cf64ac72e015504a4,389635.9387,0
0x8709beab3a32f84b7db87b879b534bc1a7fe49a6,388675.7838,0
0xd27f5c4c9708530b9ec30d535532707cf6a5cae7,380978.4389,0
0x1db91f586331d168e2da4c6bd73b689fb9f43516,348823.5494,0
0x1840f1b15d6940e6b46fe84339f73815fcfa2094,346874.2067,0
0xe480d4e05c8c32dc3c00a20add4560e482fc33b1,274741.2485,0
0x6fb779d64bb66aff2a5cd7f2578ee192078c8290,270586.2873,151900.2632
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,249098.4026,0
0xba64bc8508dda0600f521040c6a694793feca2c7,244498.7963,0
0x2f2de60dea89ef14607dc2d84bd7922e93ed66be,229380.8639,1215202.106
0x5e530e6d7a7a33685c5e9f29be9cbe4e24975b7c,199052.7765,0
0x4787ed2bed2069e394c522b81de558d2afc14a8d,195825.2231,0
0xae796fea209c83631c26a31aee1136bc167c5ef6,184460.184,0
0xcce878defd667f2b85a86f586452e5bfc68cf7b9,182507.5375,0
0x2962494762c64f27ac08a4bfd2d62785114400ea,181706.6782,0
0xde852d232d0a6db96d41499687668527ed10b928,177144.1597,0
0xbaa433d9b1787579b16aba880773ebb090b96857,175202.9968,0
0xfae3b719dfbb137e87117dc362263c0ee5b848d3,174447.4358,0
0xaeab0775b7edfa45b2c010a6b4e82ceb961ed9a6,172984.6091,0
0x6a329233d4828f14315f8fce8c0a1f5337796043,146121.3123,0
0x9e6e77c517237ccdbaa60315c04a4857aa464bcc,134231.4311,0
0xd3034bdc0b7b7168aae7f96f4dda646051635bc7,115837.6414,0
0xbb34666407e47f87a44e4540ee765909506cb105,115727.9371,0
0x69e02d001146a86d4e2995f9ecf906265aa77d85,115722.9966,0
0x8cb2b2ad5ef8e644f995a8427e11751146493f9e,112216.1779,0
0x3551b61ec1d5576e631a430a17d31f73f6ce24e2,108916.6334,0
0xea071790fdf8cb000133aa4c31051f409714474b,106667.2419,0
0x813399e5b08bb50b038aa7df6347b6af2d161828,103503.6785,0
0xde6b5d7e6f85fb98c99558c506dd43f13cdb0350,99888.89235,0
0xfaaa5266034f0cd89ff258ed4ff1344c568e0f0f,97619.23013,0
0x000000daf8544585452d36f72387f62d848de003,95518.53514,0
0xd90fa8851e257aaab332eb820b2cb351867f4438,95278.80462,0
0xb4a3c2debfc033ee3399ad6adf0b4fc74db92baa,95205.09689,0
0x182ec8eca14839fe7a3f6c51b46ccab6798faa1c,93777.06415,0
0x29c55c4422009ee2a3ef867a541f6da4a7a0513b,80885.87879,0
0x9354ba1fc2fccb08929642b566043a5222f22199,77385.94564,0
0xfa91696b55ee01e0d9378b9a0b03a7be699a8bf1,75523.2128,0
0xaf90bd522bd977c1bcb7f9f8bf06ccd2e29dca28,72979.43071,0
0xf51a50932c297a9d6cc108f9c5ffe648770ec9e6,71069.17294,0
0xb46bbe83db7847b7aca6109351257cd0821c2f11,70896.18621,0
0x46dd56391f1ec6e65bd66bbaabb7e51365bc63c9,68746.96385,0
0x644ab04b2d084f8df28900f53b90ad1037f257e6,66969.68218,0
0xc04032bcbcce4d43ef978cc808f1d2da5c0db3c3,66886.45027,0
0xbac7fe1787906e7f8eb3302779cc78c2201ca5af,66767.88165,0
0xf4b5ed22a85df12226e2b6c6a673861614dab6c3,66670.41121,0
0x984a69a51f06044e6b79294c652fae499b333f49,65978.7411,0
0xc6ddadf0f852977131f3e63746344d0f1be06c16,65741.59706,0
0x9325e7ac4aedf65816d7d860eb5b2ba0a234f714,65274.91271,0
0x1dbd4b5451e450a947677a79326c2b8eb29fb701,63373.61921,0
0x00c763ea9716c173b7406e926e84ce6394976f29,60451.01793,0
0x4cfd1505867992ebe168b5d56c9ea9be24b4acd7,60394.7845,0
0xe47e1ac440a31a8c77c825cf30d9a91f6352bc84,58343.96001,0
0x52e14e8dfc87e8875ce5e9a94019f497b82b3e01,57024.69577,0
0x9892e776acae90cbc42e44301388a00f98ec5971,53706.6241,0
0x7b0c7768879c60dbf69d65f74c66b10554915282,52700.508,0
0x9e0cea059cd36ef21e4e90e2abd2b24ab0f266d4,52145.59055,0
0xc65aa07a7134b08a558cbc29aba93cebdfb02a33,51252.38111,0
0xc6abe23dd1f9483d12248b827f989a9956ff91c3,50068.73083,0
0xe46a240e51bdedcb15e7d774177c3398c073abac,47789.03905,0
0x81ab70827feb547ab6cdd97d7632be56e6850f52,46725.60956,0
0x06a1ea741d82f0eb289f3997e30e411834d0a7ea,46246.02116,0
0xef3f997f76dd076a0354b088f5c3850a949299b2,43413.8272,0
0xc04a5451caa72d9784a1bd494cf2444aa6a1d42a,40520.80413,0
0xe472fef1286cc1c367821e317921fc07084a62d2,38657.77178,0
0x181a81e54da038370a88b95f5b6e352c27c5bdac,35657.24097,50633.42107
0xbb26ca52efd49091d02b9983ec49ee0d35797d3d,34797.33192,0
0xb4ed1a39491c83219764152e4dc68944d5547947,33942.48601,0
0x3aaa29661046e01dfba878e0887088e5784f7d63,32936.67188,911401.5792
0x9299013ee68eaf8f919298416eb98cdfc3ceb4c8,31597.52242,0
0x69d6889e79738733c81eb3553a72086b38d9cc11,31120.08584,0
0x6f6b9a91a78c2e23ea086e45a53111ffa61195ad,29928.98581,0
0x17e55deb480e04b10c60edb13a2580c8f0db1428,29431.17884,0
0x81b1419fc98c6ed829fb34dd207c3ad1bd9136e9,28684.54754,0
0x00eef0e5b85b7980971b029d22b53f3de468f361,28646.67036,0
0x8c98664da1dbb372d47e4f0ad9ff410d285d0530,27536.1675,0
0xd2cbead1ee498be422590433aaab179b9c4493d7,27059.22158,0
0x7b0cc017f59959c384a47bce5de744a938b613dc,26874.67742,0
0x28ead95628610b4ee91408cfe1c225c71ab6e7a8,26777.41257,0
0x929131623deaa802a56f216a8d55a8f1067ccbd7,26635.80577,0
0xa434187047120684940f946f367ba9a16db11b4c,26629.29921,0
0xd90c859b228a55648d4dec90c9ac7a9545b17c0d,26411.59949,0
0x46f0849df698b6c5e31936b21ea28f301fb8d7e2,25012.10862,0
0xa92f4a523d8ae3c37e4716b89d05bf57862cf998,24902.0862,0
0x3b18308dd7f759f027a22ab41b7ceca363af0cc1,23975.6199,0
0x1dbd54599a449220bdd5e3540861ce670ea9ec36,23813.21377,506334.2107
0x0000000188e3604489698ea73de28524f2bea6c6,23701.22908,0
0xbad9f0ca9faabd16b0162c8f8fd3fb639394be68,23684.87766,0
0x58609500901803d978f56995a59d0010b917c64c,23522.70144,0
0xd31d839a569caa378b94e78fb2ea050ca2c2239b,23305.0038,0
0xd264b84cbcb5369dcb917e5ebac23d870622dfd5,22817.41677,0
0x8c65f60f52dcfdb294ca038a15e26e5c41f44365,22691.50565,0
0xaf87e2a09e3f612caff471845b0857a723e83acc,22245.42818,0
0x0000000002c0fd34c64a4813d6568abf13b0adda,21565.89757,0
0x23b06421b3b6ea0daeb71bb7fe0e44500bf7a5c5,21186.20403,0
0xd8e8242e1333c4d3d1b2ca862fc64a1c440cc364,20986.42736,0
0x417ac47ab85ff79254a541fd6a9fdff23852a9a4,20366.36103,0
0x80f8096f6bf18730c8b6f21b66ab19c08d4672e8,18894.89445,0
0x3572c1dfd1ac099a0d1ecd3f8696c2346d36049c,18768.96247,0
0xe3a9094320caf7ef031a8907d14d241f12f7e48e,18749.20047,0
0x4ca1a00983a25256d6f6f00f9c20696cf1d29ad5,18716.06778,0
0xf4938fbd494a613a1ca0f29a74b8c8a11d42921f,18338.07835,0
0x2f453414f8a9e6f9e7d1075110ef3a7873225431,18172.79273,0
0x8cb5e212e6a3b70229ac1edb56fe5e6db199dde4,18125.40955,0
0x17d03cba2a1e0b909ffadb8bb634c0fe92b94e94,17841.22134,0
0x75ccf472c4119223381b3488465d9af0b0f9636e,17629.35362,0
0xf56d4380594624c6bdd9ee58d6060f4310733285,17450.76377,0
0x92ce7b68f1557ce2b3349e96037edb3544a4534c,17435.08927,0
0xc02abf2bdc7449c6afb1bf88129e5a66823767ab,17263.47127,0
0x0c82e08b1b4e62033d2ac3010eb774b30788b8ff,16936.39301,0
0x8c878101de6b1c480b1ca7d190d0670fc7be2c7c,16740.06348,0
