addr,gold
0x924cafec4f967be5df085ad94d8d50574f9a2bb0,230.579755
0xb497070466dc15fa6420b4781bb0352257146495,83.799809
0xb312628fc7454dc2d492e5fcd59b85c6653bc26f,83.436610
0x0f179f14ee391b9d848eb2bd84631d0b066e7de5,49.756691
0x1c776a4887132257b3e1e7f50b682b59d9199820,34.380553
0xb5f655b8158c9089f52ccb7a832c58406f5e5345,20.926918
0x6968cd0784ddf0165fa161511f6f2599e4dede92,20.287846
0x6dbe47d2bc0b0c90b877c69164a529d591c379ad,20.177189
0x3fa0c445c615628ac16f3cd435924c9ad0c05f6d,19.075047
0x87d37e911a38f1f730ed22a026281e1b551df988,18.867431
0xd89db858c183dd54849e325613c11eee08cb4e45,18.458163
0xc65c762fc8a7e1618529c1e49ea3fe572dbdc40b,14.504515
0xfc5ad91f9226ae735d001421d24bd3afd6fbd69c,11.962796
0x7e388940fdf50a5ef090c3e9c9b5ec5219d72fa2,11.916545
0x92dbc5cf2af9c79d2cd407fc3712bd5abcc5ba62,11.497912
0xe767774e4674a76666cce97e04be84cd31c8b68a,9.072091
0xced462398bdfbb1b45d75b7f2c61172643a18009,8.141021
0xd6cb7a7b544e24e5160a948a16c45b1096276f9d,7.567324
0x1928c9dd36cf75fc3e448cc3244092ce2f4c0369,7.462730
0x5137013b2aeedf1833958d240c8e85f5d63f1880,7.253873
0x082b24847001dfc8cef3ec3c46a048679af89a98,5.951723
0x436608d74e5789f251b259e1f802999ee9d40929,5.945795
0x6b62909ad3f315833a5e5062b670034a3016910b,5.579814
0xe2ab5fd0847716272f71d487669bd893501562d4,5.301480
0x1a187907120ccf7d7fb767191acaf97ebe8d82a9,5.281412
0x13ae71db307648b7726513a98f50e1b9c88ef922,5.068666
0x72a062b88fd495c5efa621b7f611973b48f2bd97,5.008896
0x1df34258bfbf05741c8480599ab3f94599f9a701,4.683977
0x7b11d84509a5ac4933efc087f6ccdde93e451be3,4.508399
0xc841431b7c7c2a529701943a8e7f0b375a6a75bc,4.366296
0x5819cf8ca77bd3815a50bf31c43ccf67ebd88ef3,4.366296
0xd4fa682a0c77f6ee801765110989d113dc9f0d14,4.366296
0xdcc2675bbe4d931de00da054c62eb9fcff2175a9,4.360640
0x6d3b90747dbf5883bf88ff7eb5fcc86f408b5409,4.288173
0xf60fd90fc72e1eb4d2054a24f5dcf7658f166eda,4.149274
0x3efec9925973afe87cbfe219dfe31fbba4266369,4.038577
0xec280b396c67ea915995b900fd1c5e665681ff37,3.731274
0xd036d03554ad101c3d0304614d296fc6ae5bc746,3.493201
0x8310bcecae09879e6be9f4e0405925a8f861bf9f,3.175492
0xcad0d46627628a8baf524bf202669e8b9f04250f,3.172367
0x147a7ac48bc8d52d0c30e9f6fb8ea5fe69d97c98,3.167078
0x9a4913753f3ed56d5c82e189a41f72cfb99ff75e,3.128338
0x77ea6d4c80f0800dcaf07dbd61ab61da83151ef0,3.115513
0xa91f1ac952053dca88075f2a238fe9b92ab08348,3.015296
0xb4a3c2debfc033ee3399ad6adf0b4fc74db92baa,2.942744
0xe3c468e4ff5e93c2b6881d3e8820af27cee431e4,2.861383
0x8081a607c66863c7dee83a8297d64d57afcdfb53,2.818232
0x44d495d881f63e1a226286123e115eb5deefd948,2.815939
0x7e52b698f130b980d68ac45cb043ebd79d38617b,2.756303
0x04d03eb6c712052cc2f925732d6193dd090c8a07,2.626656
0x3c2414cc813954b3e3ede8bfdb866c1d3ee67d06,2.592217
0x829cb63c3220c66ad563641d342ff152a5ee3390,2.579496
0xe354f7478b7f7924e960151eeea02e8b8fe395c6,2.572849
0xfcbbae9be6be2b6de264643dd0ee3d9a0e2e8733,2.558471
0xbb8a1de05323516cddbd09287c39840b95c14bdd,2.469824
0x3d8787bf238ec6cb1d8d61d8dc3211fe602eb7c2,2.452321
0x7aeefd6c70d76f3306001916004105885a6bb594,2.301154
0xcc1c16d0c6b5583ae64ba5cf2a1568f3136328a2,2.298809
0x6586185c2b16e620db0ab02e7fca0c66dee7c9ea,2.298292
0xee88442e9d2d3764ac7ab60b618cd73cd9a5fa51,2.267808
0x03c78f6a0a3ec69a3daba16d0165f0ae7382e1c8,2.214767
0x0e5d98aa43cb6f28ed5a88635d8de106e7a557fd,2.200843
0xa7b51d73624cd95166acf34f75396d02057c1d5c,2.195643
0xef41b4c6ae198c63684f780fccb673471735759f,2.161905
0x11d67fa925877813b744abc0917900c2b1d6eb81,2.139486
0xef5eda43d5acf021c22a487aa442c5ff93a13cb0,2.039601
0x33d37602dbf82bea54478b161584aaea4886f6ff,1.995761
0xa7cac17803d68d82c93bba87b172339dd806e70a,1.890627
0x89bbad3738c5efd5d1edc28869fcc605ee35c81b,1.856030
0x3150bdcda1b41e0f2a550955839f6b2c723ad0b7,1.842293
0x2827e2b14462b43e4288bf610a86316447768602,1.807969
0x3fddee6383e30571e9ce36112b6c70aacb70aaf5,1.778360
0xf5e4c2f7b80a10eec24358b702c437f8c83048c8,1.734366
0xaa3545cc17ebb333e382e9c1bc5229966689704a,1.720059
0x36ad4f5dab23795c69f162cd1c3cd62cea64b06c,1.716121
0xacc00c54b7bc3226a683ea8c5f51ec98854c65a3,1.705767
0x8bfaeae7d8d8968dcb242201e6d08490b4f9d86a,1.646900
0x059213d0adbd35def06ac6736c8bb310360c8a5d,1.612177
0x3269853c8b0c0d09ceaa6376a896e6cf7682a324,1.602107
0x730e0e40b5053da12a830c6ea75037befdcfee53,1.591049
0x51269c05ffcef90eb64b9706317ebcbafba79686,1.590409
0x3d5d93e154c1e8e531b24d719ba1dab315418e27,1.522069
0xb2cf3510505e7d51539b51da75ce1ee484f20bb7,1.496721
0x6b9ffef96ebf83e005f0898dc9b80cb9be988b87,1.484365
0x38f5787578b70274f9799dbfd7cba521dcbacaf4,1.470050
0x281c5cf3130da4c647e4c7ebccd617917080fca0,1.469959
0xf3d2e6a2539353683e0a012dbb266779d1025ac1,1.458582
0x264827b8dd1ca3ef6afb080241b3d3d8de8178b3,1.449778
0x4b4d73196f2ffe2938f52db14b044200d97e3248,1.443925
0xa95714193d984152da2c10e2194cc97b93fb1437,1.413720
0x5ec307af21cee32eb6a51d19d251d2aa7b192802,1.390627
0xcb6d3cc4a4856a08576609f511bc7f26cadf2ff6,1.354916
0x349d6f3e15d70fce701ef6254fdb36442b67000f,1.323120
0x8d2a10c2c7e05ccdaf0b9e61c6fb9131987fe475,1.312901
0x36675bf929727d38057b7a5a03d78c5df98166c8,1.309899
0x029227b42a95037305325f083c3b083fb48e803e,1.304074
0xe0948c933ff574d58db56f47fbafc27c3348eaed,1.303518
0x1abaa3bf12034e680315cc115612645818e6e748,1.298435
0x81162161234f9b67b50e82b876f159dd5ed78fbd,1.272809
0xed1c29ade015e3dd110325d70ec07fd55215edfb,1.271193
0xabe2bee5080af9bb7ba8b1426b25f120bc19e233,1.253017
0xf12d94b7558b002f60d93eedce3cab3019ce0031,1.235984
0x24f22b798716d511e30baf9a3524b6546a4b05ca,1.235271
0xef532911656c39c6bc23fbabd05f816055949cf7,1.221999
0xba918b00c436f405b87888b8ac1629a99af8125b,1.208015
0x4f24045ea9cff53633c44abb59275b2c8dbb2175,1.164346
0xae69719767e23d7e7e32912eb720eab9d52aab6d,1.163890
0xf3d476566bcc8e882a3910f1471428522449d89e,1.155256
0x1c4f553fc8696cdae3cf041053fbcfdfabfba38a,1.141877
0x0e230a71bc8a8a2170eea273c8f40d33f85d6bf9,1.097121
0xda436db56e7d5d7ceeb20003fc63acd4d8b465ba,1.086256
0xb10836933f34c5a0dc159c918a24435ab4e53908,1.063853
0xb72ed8401892466ea8af528c1af1d0524bc5e105,1.058496
0x9afb4e4eda99fdeec1343bc7de4108beacec1d70,1.053384
0x92c98285230ac5e47012c63456c0e2e94e934ff9,1.030226
0xffc4583bc9204057b5b2e94b7922fab07e0486fd,1.012981
0x112af92409b81bd996cd3aa6d33d366e19230fea,1.004358
0xbe7b0d822f239bca5e65815b8cf9f74ebf202600,0.980563
0xa4cadbe8898d5f718c3fed7a3aedc323765cd993,0.974455
0x461462fc0a8c05ffb5b5fe2e82b3a3ab292db23a,0.970288
0x1e56bff5ea6643985008521650df481132aad5ad,0.960604
0x6f133b985501dbc3a697fb5244924b57c5ac8c72,0.943946
0x2d832b4e4b39208109f4a6ffafeaaf4d6c63b57f,0.939456
0x1af86eec2d46160b784ab7f4ff9c62ec7294d762,0.928790
0x28db92fdf955eed69296b1f2e2811b701d726618,0.913185
0xea32a33300d64bddb9f09a8308d44c23616ec706,0.906342
0x9b0b951bd63fffb1d0c227a2b610215ce47157bd,0.898286
0x9a0f62b9a86187a03f4459d3130e9792eee8aeb9,0.893156
0x11ef981ebd7202b15db301aab4add70af80ffbe7,0.893116
0x863a75356a04d4fa3d30f4a518a136fe27097eb3,0.875232
0xfe95b935eabda9fc47233223c057c590e95ce47b,0.874043
0x2c393c36cb1d1453af8797658b2d7346d2aeb6e9,0.873261
0x584251d66357e06c1a6d19bde0ec0239eb75aee4,0.873259
0x143869b4f47e67e4cc87cc4574f19e3087d3e9ac,0.873259
0x0c14466009c658b3d52f2cc1b8394203fc8227ce,0.873259
0x042239a49c6467eb1cc71f0ca3244a61d563a0c2,0.873259
0xa89c876be69223295a0925d7a62cb6868dec4ac8,0.873259
0xff5c5cbf983022f79ba634c197569e0cc547bbfa,0.873259
0xbb1354944009f984e86a9550c87af91f66cde49d,0.860317
0x49ea3ca642e40a26cecc9789fc7da37c90cef943,0.848260
0x90102f0dc70d0b71a0f0d7069f33d1df62527464,0.832144
0xe2ce9e112276eb66f44a55f68c78af32fb6d5a24,0.783323
0x0f8b8801a738ba366b1703c35057c0fa6bcef5dd,0.762966
0x696c9b7dd5fcadbfa0b1170bee6517e87598dcdb,0.762706
0x4245263356132b286696d16e763cb92ea08d25bb,0.739969
